Tolerance,Neutral FP,Neutral FP Normalized,Smile FP,Smile FP Normalized
0.3,0,0,0,0
0.31,0,0,4,0.416233091
0.32,0,0,6,0.624349636
0.33,0,0,12,1.248699272
0.34,0,0,20,2.081165453
0.35,10,1.111111111,36,3.746097815
0.36,30,3.333333333,50,5.202913632
0.37,40,4.444444444,66,6.867845994
0.38,58,6.444444444,72,7.49219563
0.39,94,10.44444444,98,10.19771072
0.4,108,12,114,11.86264308
0.41,152,16.88888889,142,14.77627471
0.42,180,20,178,18.52237253
0.43,230,25.55555556,244,25.39021852
0.44,264,29.33333333,290,30.17689906
0.45,298,33.11111111,356,37.04474506
0.46,338,37.55555556,416,43.28824142
0.47,398,44.22222222,474,49.32362123
0.48,456,50.66666667,522,54.31841831
0.49,498,55.33333333,568,59.10509886
0.5,546,60.66666667,608,63.26742976
0.51,594,66,654,68.0541103
0.52,632,70.22222222,708,73.67325702
0.53,664,73.77777778,724,75.33818939
0.54,704,78.22222222,744,77.41935484
0.55,736,81.77777778,766,79.70863684
0.56,746,82.88888889,780,81.16545265
0.57,772,85.77777778,802,83.45473465
0.58,786,87.33333333,816,84.91155047
0.59,798,88.66666667,822,85.5359001
0.6,800,88.88888889,828,86.16024974
