Tolerance,FP,TP,FN,TN
0.3,0,99,0,862
0.31,4,99,0,858
0.32,6,99,0,856
0.33,12,99,0,850
0.34,20,99,0,842
0.35,36,99,0,826
0.36,50,99,0,812
0.37,66,99,0,796
0.38,72,99,0,790
0.39,98,99,0,764
0.4,114,99,0,748
0.41,142,99,0,720
0.42,178,99,0,684
0.43,244,99,0,618
0.44,290,99,0,572
0.45,356,99,0,506
0.46,416,99,0,446
0.47,474,99,0,388
0.48,522,99,0,340
0.49,568,99,0,294
0.5,608,99,0,254
0.51,654,99,0,208
0.52,708,99,0,154
0.53,724,99,0,138
0.54,744,99,0,118
0.55,766,99,0,96
0.56,780,99,0,82
0.57,802,99,0,60
0.58,816,99,0,46
0.59,822,99,0,40
0.6,828,99,0,34
